Nama;lifeExp;Murder;Assault;Rape
Alabama;69.05;13.2;236;21.2
Alaska;69.31;10;263;44.5
Arizona;70.55;8.1;294;31
Arkansas;70.66;8.8;190;19.5
California;71.71;9;276;40.6
Colorado;72.06;7.9;204;38.7
Connecticut;72.48;3.3;110;11.1
Delaware;70.06;5.9;238;15.8
Florida;70.66;15.4;335;31.9
Georgia;68.54;17.4;211;25.8
Hawaii;73.6;5.3;46;20.2
Idaho;71.87;2.6;120;14.2
Illinois;70.14;10.4;249;24
Indiana;70.88;7.2;113;21
Iowa;72.56;2.2;56;11.3
Kansas;72.58;6;115;18
Kentucky;70.1;9.7;109;16.3
Louisiana;68.76;15.4;249;22.2
Maine;70.39;2.1;83;7.8
Maryland;70.22;11.3;300;27.8
Massachusetts;71.83;4.4;149;16.3
Michigan;70.63;12.1;255;35.1
Minnesota;72.96;2.7;72;14.9
Mississippi;68.09;16.1;259;17.1
Missouri;70.69;9;178;28.2
Montana;70.56;6;109;16.4
Nebraska;72.6;4.3;102;16.5
Nevada;69.03;12.2;252;46
New Hampshire;71.23;2.1;57;9.5
New Jersey;70.93;7.4;159;18.8
New Mexico;70.32;11.4;285;32.1
New York;70.55;11.1;254;26.1
North Carolina;69.21;13;337;16.1
North Dakota;72.78;0.8;45;7.3
Ohio;70.82;7.3;120;21.4
Oklahoma;71.42;6.6;151;20
Oregon;72.13;4.9;159;29.3
Pennsylvania;70.43;6.3;106;14.9
Rhode Island;71.9;3.4;174;8.3
South Carolina;67.96;14.4;279;22.5
South Dakota;72.08;3.8;86;12.8
Tennessee;70.11;13.2;188;26.9
Texas;70.9;12.7;201;25.5
Utah;72.9;3.2;120;22.9
Vermont;71.64;2.2;48;11.2
Virginia;70.08;8.5;156;20.7
Washington;71.72;4;145;26.2
West Virginia;69.48;5.7;81;9.3
Wisconsin;72.48;2.6;53;10.8
Wyoming;70.29;6.8;161;15.6
